N,1,S,105,6
N,2,B,107,8
N,3,S,100,2
N,4,S,107,6
N,5,B,105,1
N,6,S,112,10
N,7,S,113,3
N,8,B,95,2
N,9,B,99,2
N,10,S,103,1
N,11,S,97,5
N,12,B,97,5
N,13,S,104,4
N,14,S,111,6
N,15,S,108,5
N,16,B,101,7
N,17,B,96,7
N,18,B,99,1
N,19,B,104,5
N,20,S,99,2
N,21,S,97,6
C,17
N,22,S,103,1
N,23,S,110,1
N,24,B,102,10
N,25,B,112,9
N,26,S,98,1
N,27,S,102,3
N,28,B,98,9
N,29,S,97,7
N,30,B,97,4
N,31,B,101,7
N,32,B,107,6
N,33,S,96,2
N,34,B,104,4
N,35,B,100,2
N,36,B,99,4
N,37,S,104,6
N,38,B,114,10
N,39,S,98,3
N,40,B,107,9
N,41,S,114,3
C,18
N,42,S,98,10
N,43,B,103,7
N,44,S,110,6
N,45,B,114,2
N,46,B,114,5
N,47,B,104,4
N,48,B,95,9
N,49,S,99,5
N,50,S,99,4
N,51,S,95,3
N,52,S,114,3
N,53,B,96,8
N,54,S,104,8
N,55,B,110,4
N,56,S,104,3
N,57,B,108,4
N,58,B,98,9
N,59,B,97,2
N,60,B,100,10
N,61,B,113,6
C,21
N,62,S,100,6
N,63,S,101,9
N,64,B,108,7
N,65,S,97,5
N,66,S,111,10
N,67,B,100,4
N,68,S,112,5
N,69,S,111,2
N,70,S,111,2
N,71,B,97,6
N,72,B,111,6
N,73,S,101,5
N,74,S,96,6
N,75,S,108,9
N,76,B,113,9
N,77,B,105,5
N,78,B,109,7
N,79,B,101,8
N,80,B,112,2
N,81,B,99,2
C,15
N,82,S,107,5
N,83,B,103,10
N,84,S,112,9
N,85,S,110,1
N,86,S,98,6
N,87,S,98,5
N,88,S,114,9
N,89,B,100,10
N,90,B,104,7
N,91,S,107,6
N,92,S,112,1
N,93,S,109,9
N,94,B,98,7
N,95,B,112,10
N,96,B,100,9
N,97,B,113,3
N,98,B,105,5
N,99,B,113,9
N,100,S,112,5
N,101,S,98,5
C,81
N,102,S,108,7
N,103,B,97,9
N,104,S,98,10
N,105,S,107,3
N,106,B,102,5
